Order_Date,Product_Name,Category,Region,Quantity,Sales,Profit,Column1,Column2,Column3,,,,
19 September 2024,Laptop,Electronics,West,5.00,3280.00,954.17,,,,,,,
20 July 2023,Mouse,Accessories,South,7.00,1239.00,177.39,,,,,,,
03 May 2024,Headphones,Accessories,East,8.00,5880.00,436.85,,,,,,,
03 September 2022,Smartphone,Electronics,West,2.00,1668.00,437.30,,,,,,,
09 July 2024,Printer,Office,West,7.00,4109.00,1037.64,,,,,,,
17 November 2022,Smartwatch,Electronics,West,7.00,595.00,148.50,,,,,,,
28 December 2023,Headphones,Accessories,East,7.00,8155.00,1587.91,,,,,,,
30 May 2022,Monitor,Accessories,South,3.00,1872.00,553.10,,,,,,,
17 April 2024,Smartwatch,Electronics,East,6.00,2124.00,126.03,,,,,,,
30 September 2024,Monitor,Accessories,West,5.00,5210.00,1338.80,,,,,,,
02 June 2024,Mouse,Accessories,South,7.00,5761.00,362.48,,,,,,,
26 September 2022,Headphones,Accessories,South,7.00,6895.00,1596.35,,,,,,,
17 December 2024,Smartwatch,Electronics,East,3.00,2118.00,317.08,,,,,,,
09 October 2024,Smartwatch,Electronics,North,5.00,830.00,58.28,,,,,,,
14 July 2023,Smartwatch,Electronics,North,1.00,851.00,93.56,,,,,,,
05 December 2023,Tablet,Electronics,East,5.00,4730.00,1365.63,,,,,,,
03 June 2022,Mouse,Accessories,West,6.00,5460.00,845.75,,,,,,,
28 December 2024,Headphones,Accessories,East,5.00,5795.00,310.60,,,,,,,
06 August 2022,Laptop,Electronics,South,4.00,2008.00,338.44,,,,,,,
06 June 2023,Mouse,Accessories,South,7.00,2842.00,425.24,,,,,,,
01 February 2024,Mouse,Accessories,East,4.00,3404.00,392.22,,,,,,,
31 May 2023,Smartwatch,Electronics,West,1.00,1065.00,228.63,,,,,,,
14 June 2024,Tablet,Electronics,West,7.00,2149.00,121.69,,,,,,,
14 August 2024,Keyboard,Accessories,East,8.00,5912.00,1143.04,,,,,,,
01 February 2023,Mouse,Accessories,West,3.00,3348.00,331.28,,,,,,,
28 April 2024,Smartphone,Electronics,South,3.00,2409.00,531.79,,,,,,,
05 April 2024,Tablet,Electronics,North,2.00,328.00,39.51,,,,,,,
31 January 2024,Smartphone,Electronics,West,8.00,6224.00,1561.42,,,,,,,
09 January 2024,Smartwatch,Electronics,North,5.00,2530.00,486.09,,,,,,,
06 April 2022,Headphones,Accessories,West,4.00,4108.00,462.17,,,,,,,
22 May 2024,Printer,Office,South,5.00,1640.00,391.36,,,,,,,
30 December 2023,Laptop,Electronics,South,1.00,111.00,19.33,,,,,,,
17 March 2022,Headphones,Accessories,North,1.00,445.00,128.89,,,,,,,
24 May 2022,Printer,Office,North,4.00,3600.00,623.72,,,,,,,
09 June 2024,Mouse,Accessories,North,3.00,1335.00,176.44,,,,,,,
01 December 2024,Keyboard,Accessories,South,5.00,3090.00,242.15,,,,,,,
20 October 2023,Printer,Office,East,5.00,3910.00,538.52,,,,,,,
05 March 2024,Camera,Electronics,South,1.00,219.00,32.67,,,,,,,
05 December 2022,Smartphone,Electronics,West,5.00,390.00,27.77,,,,,,,
05 August 2022,Laptop,Electronics,North,6.00,3294.00,359.61,,,,,,,
21 March 2023,Keyboard,Accessories,West,4.00,4572.00,1038.05,,,,,,,
08 February 2022,Monitor,Accessories,South,7.00,980.00,109.94,,,,,,,
01 April 2023,Headphones,Accessories,North,2.00,2262.00,532.12,,,,,,,
14 December 2022,Camera,Electronics,South,7.00,7518.00,1655.91,,,,,,,
14 May 2022,Camera,Electronics,South,1.00,873.00,158.97,,,,,,,
16 February 2022,Mouse,Accessories,North,6.00,1512.00,423.03,,,,,,,
28 August 2024,Laptop,Electronics,West,1.00,705.00,165.16,,,,,,,
30 October 2023,Smartwatch,Electronics,North,8.00,3256.00,533.70,,,,,,,
24 June 2023,Tablet,Electronics,West,4.00,556.00,81.77,,,,,,,
17 May 2023,Mouse,Accessories,East,9.00,7101.00,2105.82,,,,,,,
06 April 2023,Laptop,Electronics,West,9.00,8802.00,1344.96,,,,,,,
26 March 2023,Headphones,Accessories,South,6.00,5592.00,1294.16,,,,,,,
12 October 2024,Tablet,Electronics,North,2.00,1852.00,168.92,,,,,,,
26 June 2022,Monitor,Accessories,East,1.00,195.00,57.88,,,,,,,
15 April 2022,Mouse,Accessories,East,9.00,7884.00,2054.02,,,,,,,
10 December 2023,Laptop,Electronics,East,5.00,4360.00,1160.55,,,,,,,
23 September 2024,Mouse,Accessories,North,6.00,4920.00,929.18,,,,,,,
01 January 2022,Mouse,Accessories,East,3.00,3474.00,565.00,,,,,,,
03 February 2022,Keyboard,Accessories,West,1.00,930.00,222.50,,,,,,,
14 March 2023,Tablet,Electronics,South,7.00,1421.00,248.02,,,,,,,
24 August 2022,Headphones,Accessories,North,2.00,634.00,161.10,,,,,,,
07 July 2024,Camera,Electronics,East,1.00,673.00,114.42,,,,,,,
13 April 2022,Mouse,Accessories,South,5.00,3135.00,787.70,,,,,,,
08 May 2024,Smartphone,Electronics,East,6.00,882.00,184.48,,,,,,,
10 September 2024,Smartphone,Electronics,East,4.00,1192.00,212.77,,,,,,,
18 June 2024,Printer,Office,South,3.00,390.00,112.08,,,,,,,
10 September 2024,Tablet,Electronics,North,1.00,834.00,95.54,,,,,,,
06 May 2022,Smartphone,Electronics,East,6.00,612.00,83.75,,,,,,,
18 June 2024,Headphones,Accessories,West,9.00,8073.00,710.23,,,,,,,
29 October 2023,Keyboard,Accessories,North,8.00,2640.00,723.88,,,,,,,
13 November 2023,Smartphone,Electronics,North,3.00,3234.00,440.70,,,,,,,
21 August 2022,Monitor,Accessories,West,5.00,4435.00,355.51,,,,,,,
04 March 2024,Smartwatch,Electronics,North,2.00,2302.00,305.07,,,,,,,
17 April 2022,Camera,Electronics,East,6.00,1728.00,307.44,,,,,,,
20 December 2023,Laptop,Electronics,East,4.00,228.00,54.05,,,,,,,
19 March 2022,Tablet,Electronics,West,6.00,3450.00,705.74,,,,,,,
07 July 2024,Smartphone,Electronics,South,8.00,7456.00,1702.48,,,,,,,
30 April 2023,Smartphone,Electronics,West,6.00,4728.00,705.85,,,,,,,
22 March 2024,Smartwatch,Electronics,North,7.00,945.00,124.62,,,,,,,
08 March 2022,Laptop,Electronics,North,4.00,296.00,65.05,,,,,,,
15 September 2023,Smartphone,Electronics,West,4.00,640.00,149.89,,,,,,,
01 March 2023,Tablet,Electronics,North,1.00,797.00,65.27,,,,,,,
24 October 2023,Monitor,Accessories,North,4.00,1456.00,431.89,,,,,,,
22 April 2024,Monitor,Accessories,South,6.00,4038.00,364.11,,,,,,,
27 June 2023,Tablet,Electronics,West,7.00,5656.00,355.81,,,,,,,
13 April 2023,Mouse,Accessories,West,4.00,3876.00,302.37,,,,,,,
19 May 2023,Keyboard,Accessories,South,6.00,1002.00,114.70,,,,,,,
15 November 2024,Headphones,Accessories,East,9.00,2187.00,413.76,,,,,,,
25 December 2023,Mouse,Accessories,North,6.00,7146.00,1627.42,,,,,,,
31 March 2022,Keyboard,Accessories,South,1.00,189.00,14.88,,,,,,,
24 April 2024,Monitor,Accessories,East,5.00,940.00,266.02,,,,,,,
10 January 2022,Headphones,Accessories,North,1.00,951.00,127.58,,,,,,,
17 November 2022,Printer,Office,East,2.00,124.00,27.42,,,,,,,
29 June 2024,Mouse,Accessories,West,9.00,7506.00,594.28,,,,,,,
14 November 2022,Monitor,Accessories,West,7.00,8176.00,2308.76,,,,,,,
11 August 2023,Smartphone,Electronics,East,5.00,2125.00,632.68,,,,,,,
22 May 2024,Headphones,Accessories,North,1.00,967.00,59.98,,,,,,,
19 March 2022,Headphones,Accessories,South,5.00,270.00,29.41,,,,,,,
23 October 2022,Keyboard,Accessories,West,9.00,10035.00,1486.30,,,,,,,
26 February 2023,Printer,Office,North,8.00,6792.00,1125.23,,,,,,,
03 October 2024,Printer,Office,East,1.00,714.00,99.13,,,,,,,
17 July 2022,Smartphone,Electronics,South,5.00,765.00,157.64,,,,,,,
04 November 2024,Headphones,Accessories,East,7.00,4221.00,358.02,,,,,,,
24 February 2023,Laptop,Electronics,North,4.00,2108.00,576.48,,,,,,,
08 August 2024,Monitor,Accessories,North,9.00,10530.00,2387.63,,,,,,,
14 May 2024,Keyboard,Accessories,South,6.00,3396.00,914.17,,,,,,,
15 January 2022,Monitor,Accessories,North,4.00,1060.00,213.05,,,,,,,
10 May 2022,Tablet,Electronics,East,5.00,480.00,73.07,,,,,,,
10 March 2022,Headphones,Accessories,West,3.00,2529.00,285.65,,,,,,,
23 January 2022,Smartwatch,Electronics,East,8.00,4792.00,511.97,,,,,,,
19 September 2024,Smartwatch,Electronics,East,8.00,8056.00,605.80,,,,,,,
06 June 2024,Tablet,Electronics,North,4.00,4228.00,947.76,,,,,,,
10 October 2024,Tablet,Electronics,East,1.00,653.00,93.78,,,,,,,
24 March 2024,Tablet,Electronics,North,9.00,7452.00,1212.51,,,,,,,
21 July 2023,Mouse,Accessories,East,4.00,4128.00,1156.71,,,,,,,
21 July 2022,Tablet,Electronics,West,5.00,5090.00,1201.56,,,,,,,
01 September 2022,Camera,Electronics,North,5.00,4930.00,387.33,,,,,,,
20 April 2023,Smartwatch,Electronics,South,6.00,2610.00,434.37,,,,,,,
11 December 2023,Laptop,Electronics,North,3.00,2139.00,415.84,,,,,,,
29 September 2024,Tablet,Electronics,South,1.00,226.00,55.40,,,,,,,
20 November 2023,Smartwatch,Electronics,West,2.00,2244.00,212.08,,,,,,,
15 July 2023,Monitor,Accessories,East,6.00,3150.00,578.87,,,,,,,
24 December 2023,Laptop,Electronics,South,7.00,3388.00,347.19,,,,,,,
13 August 2023,Laptop,Electronics,East,8.00,8736.00,580.31,,,,,,,
24 April 2022,Smartphone,Electronics,South,2.00,1102.00,176.53,,,,,,,
13 July 2024,Monitor,Accessories,East,3.00,2640.00,199.97,,,,,,,
11 June 2022,Printer,Office,West,3.00,2547.00,300.74,,,,,,,
28 October 2024,Laptop,Electronics,North,7.00,728.00,64.82,,,,,,,
24 November 2022,Camera,Electronics,South,7.00,3444.00,607.44,,,,,,,
03 October 2024,Camera,Electronics,West,5.00,3140.00,853.66,,,,,,,
24 March 2024,Smartphone,Electronics,East,3.00,435.00,129.27,,,,,,,
28 June 2024,Keyboard,Accessories,East,4.00,856.00,72.99,,,,,,,
31 May 2022,Printer,Office,North,2.00,112.00,23.33,,,,,,,
25 March 2024,Headphones,Accessories,North,3.00,2247.00,507.79,,,,,,,
31 January 2023,Keyboard,Accessories,West,2.00,1512.00,298.73,,,,,,,
23 June 2024,Mouse,Accessories,South,5.00,4915.00,1196.60,,,,,,,
16 August 2023,Mouse,Accessories,South,3.00,2709.00,663.54,,,,,,,
10 June 2023,Tablet,Electronics,North,7.00,1239.00,118.36,,,,,,,
09 May 2023,Tablet,Electronics,West,2.00,572.00,86.16,,,,,,,
08 May 2022,Smartwatch,Electronics,North,2.00,1708.00,93.25,,,,,,,
06 November 2024,Smartwatch,Electronics,North,4.00,360.00,42.66,,,,,,,
08 December 2022,Camera,Electronics,North,6.00,3822.00,388.34,,,,,,,
25 September 2022,Camera,Electronics,North,6.00,4680.00,932.97,,,,,,,
10 July 2024,Camera,Electronics,North,5.00,2520.00,487.18,,,,,,,
29 March 2024,Smartwatch,Electronics,North,2.00,2138.00,619.29,,,,,,,
11 January 2022,Keyboard,Accessories,West,3.00,2529.00,169.60,,,,,,,
08 April 2022,Keyboard,Accessories,East,1.00,236.00,29.33,,,,,,,
21 January 2024,Tablet,Electronics,West,6.00,2730.00,636.48,,,,,,,
27 April 2023,Headphones,Accessories,North,3.00,3021.00,872.49,,,,,,,
06 November 2024,Smartwatch,Electronics,North,2.00,244.00,16.78,,,,,,,
11 May 2022,Camera,Electronics,South,8.00,728.00,120.06,,,,,,,
02 October 2022,Mouse,Accessories,North,3.00,453.00,89.49,,,,,,,
12 January 2022,Laptop,Electronics,South,1.00,379.00,84.38,,,,,,,
09 January 2023,Tablet,Electronics,West,3.00,2130.00,510.69,,,,,,,
04 May 2023,Monitor,Accessories,North,8.00,4120.00,710.11,,,,,,,
07 September 2024,Smartwatch,Electronics,South,7.00,3150.00,299.70,,,,,,,
17 May 2022,Smartwatch,Electronics,East,7.00,2688.00,603.07,,,,,,,
17 August 2023,Tablet,Electronics,East,2.00,1752.00,501.19,,,,,,,
07 September 2023,Keyboard,Accessories,North,7.00,7308.00,948.40,,,,,,,
11 May 2022,Tablet,Electronics,North,3.00,2007.00,160.84,,,,,,,
12 May 2023,Tablet,Electronics,West,7.00,7224.00,479.23,,,,,,,
08 May 2023,Monitor,Accessories,South,9.00,6939.00,1249.31,,,,,,,
18 February 2023,Smartphone,Electronics,East,7.00,5516.00,1475.67,,,,,,,
29 January 2022,Printer,Office,South,2.00,2224.00,116.47,,,,,,,
12 January 2023,Laptop,Electronics,South,5.00,3985.00,824.40,,,,,,,
03 January 2022,Camera,Electronics,North,7.00,2723.00,638.26,,,,,,,
20 October 2022,Tablet,Electronics,North,2.00,746.00,170.75,,,,,,,
21 August 2024,Laptop,Electronics,West,5.00,3170.00,245.25,,,,,,,
11 December 2023,Smartwatch,Electronics,East,5.00,550.00,63.11,,,,,,,
14 August 2022,Tablet,Electronics,North,8.00,480.00,132.45,,,,,,,
03 June 2024,Printer,Office,East,4.00,3284.00,354.40,,,,,,,
23 January 2024,Smartwatch,Electronics,South,2.00,1748.00,183.75,,,,,,,
20 November 2023,Headphones,Accessories,North,8.00,824.00,240.84,,,,,,,
03 March 2022,Headphones,Accessories,North,4.00,1872.00,448.46,,,,,,,
20 February 2024,Tablet,Electronics,West,3.00,627.00,103.98,,,,,,,
09 August 2024,Camera,Electronics,East,9.00,5661.00,1104.02,,,,,,,
19 June 2022,Camera,Electronics,North,3.00,2910.00,765.47,,,,,,,
01 September 2024,Tablet,Electronics,South,9.00,9036.00,1087.46,,,,,,,
30 August 2024,Tablet,Electronics,West,5.00,4815.00,338.31,,,,,,,
12 August 2022,Mouse,Accessories,South,1.00,1187.00,206.28,,,,,,,
04 August 2022,Headphones,Accessories,East,3.00,3339.00,732.92,,,,,,,
20 February 2024,Tablet,Electronics,East,1.00,620.00,165.43,,,,,,,
26 February 2023,Camera,Electronics,West,5.00,2025.00,414.42,,,,,,,
20 November 2024,Printer,Office,East,5.00,3030.00,811.92,,,,,,,
12 August 2023,Smartwatch,Electronics,North,5.00,655.00,166.69,,,,,,,
17 January 2022,Printer,Office,West,2.00,2238.00,294.54,,,,,,,
12 April 2023,Smartphone,Electronics,South,8.00,3312.00,811.31,,,,,,,
26 July 2023,Printer,Office,East,9.00,9387.00,1271.64,,,,,,,
01 January 2024,Mouse,Accessories,West,6.00,5790.00,1285.21,,,,,,,
06 December 2023,Laptop,Electronics,South,6.00,2700.00,527.97,,,,,,,
05 December 2023,Smartwatch,Electronics,East,8.00,2072.00,555.06,,,,,,,
27 October 2024,Keyboard,Accessories,North,3.00,2991.00,716.54,,,,,,,
04 August 2024,Laptop,Electronics,East,6.00,5568.00,958.59,,,,,,,
01 February 2023,Smartwatch,Electronics,North,7.00,5509.00,1648.74,,,,,,,
02 June 2024,Printer,Office,West,7.00,5922.00,1323.10,,,,,,,
28 April 2024,Smartphone,Electronics,South,4.00,4380.00,362.81,,,,,,,
25 March 2022,Tablet,Electronics,South,5.00,1760.00,272.68,,,,,,,
05 October 2024,Headphones,Accessories,North,9.00,5571.00,1523.81,,,,,,,
19 December 2024,Tablet,Electronics,South,2.00,1082.00,182.10,,,,,,,
18 July 2022,Camera,Electronics,East,1.00,569.00,138.11,,,,,,,
11 June 2023,Mouse,Accessories,North,8.00,3416.00,697.42,,,,,,,
13 October 2024,Printer,Office,West,1.00,570.00,57.07,,,,,,,
07 August 2023,Monitor,Accessories,East,6.00,3300.00,386.92,,,,,,,
04 December 2022,Laptop,Electronics,South,8.00,2584.00,568.77,,,,,,,
18 February 2024,Monitor,Accessories,South,9.00,7650.00,2204.44,,,,,,,
05 December 2024,Headphones,Accessories,West,8.00,3600.00,272.51,,,,,,,
15 December 2023,Monitor,Accessories,West,6.00,846.00,190.87,,,,,,,
12 August 2023,Smartphone,Electronics,West,1.00,51.00,9.36,,,,,,,
20 May 2024,Smartwatch,Electronics,South,6.00,7056.00,586.91,,,,,,,
05 June 2024,Smartwatch,Electronics,West,2.00,384.00,38.41,,,,,,,
09 January 2022,Laptop,Electronics,South,8.00,2928.00,663.54,,,,,,,
17 December 2023,Camera,Electronics,West,7.00,1904.00,352.86,,,,,,,
08 September 2022,Tablet,Electronics,East,2.00,2314.00,312.07,,,,,,,
22 January 2022,Printer,Office,South,4.00,1028.00,192.13,,,,,,,
04 September 2024,Headphones,Accessories,South,9.00,8307.00,1326.23,,,,,,,
20 January 2024,Printer,Office,West,9.00,1539.00,203.54,,,,,,,
03 November 2022,Tablet,Electronics,West,7.00,2506.00,537.98,,,,,,,
03 July 2023,Smartphone,Electronics,West,6.00,5778.00,1232.54,,,,,,,
25 January 2024,Tablet,Electronics,East,9.00,10188.00,2165.78,,,,,,,
11 May 2024,Monitor,Accessories,North,1.00,952.00,157.70,,,,,,,
02 January 2024,Smartwatch,Electronics,West,8.00,3624.00,750.86,,,,,,,
24 February 2023,Keyboard,Accessories,South,8.00,7968.00,1551.12,,,,,,,
20 July 2024,Mouse,Accessories,South,2.00,1254.00,250.09,,,,,,,
14 June 2023,Printer,Office,West,3.00,705.00,196.05,,,,,,,
10 April 2022,Mouse,Accessories,West,1.00,916.00,223.50,,,,,,,
01 October 2024,Printer,Office,North,2.00,848.00,129.96,,,,,,,
10 May 2022,Monitor,Accessories,East,8.00,2240.00,313.17,,,,,,,
28 January 2022,Monitor,Accessories,South,1.00,940.00,120.35,,,,,,,
05 April 2023,Headphones,Accessories,West,5.00,1550.00,203.51,,,,,,,
22 September 2023,Keyboard,Accessories,South,7.00,2352.00,256.40,,,,,,,
29 August 2024,Smartwatch,Electronics,North,9.00,1638.00,183.75,,,,,,,
18 November 2023,Camera,Electronics,North,6.00,7164.00,1442.72,,,,,,,
12 September 2023,Mouse,Accessories,East,1.00,205.00,54.54,,,,,,,
26 May 2023,Keyboard,Accessories,North,2.00,766.00,49.23,,,,,,,
30 April 2023,Keyboard,Accessories,North,1.00,168.00,17.84,,,,,,,
01 November 2024,Mouse,Accessories,South,1.00,1058.00,207.55,,,,,,,
06 May 2022,Keyboard,Accessories,South,5.00,1455.00,423.81,,,,,,,
10 May 2023,Camera,Electronics,East,2.00,2224.00,364.04,,,,,,,
04 November 2022,Smartphone,Electronics,West,7.00,1400.00,80.49,,,,,,,
09 May 2022,Smartphone,Electronics,East,7.00,7567.00,2213.18,,,,,,,
07 November 2022,Tablet,Electronics,East,6.00,3396.00,987.68,,,,,,,
11 August 2023,Smartwatch,Electronics,East,2.00,704.00,135.63,,,,,,,
21 October 2024,Tablet,Electronics,East,9.00,7767.00,2172.19,,,,,,,
06 October 2024,Mouse,Accessories,West,5.00,2050.00,157.13,,,,,,,
08 August 2023,Monitor,Accessories,North,9.00,10458.00,2799.48,,,,,,,
19 January 2022,Camera,Electronics,South,4.00,4700.00,619.26,,,,,,,
30 April 2024,Smartphone,Electronics,North,2.00,892.00,222.51,,,,,,,
26 December 2023,Laptop,Electronics,East,8.00,6968.00,1479.09,,,,,,,
07 April 2024,Laptop,Electronics,North,7.00,1344.00,300.88,,,,,,,
18 October 2022,Camera,Electronics,West,1.00,354.00,65.99,,,,,,,
21 April 2024,Monitor,Accessories,South,3.00,3051.00,662.23,,,,,,,
26 March 2024,Camera,Electronics,South,3.00,402.00,106.87,,,,,,,
31 October 2022,Monitor,Accessories,North,5.00,3570.00,517.82,,,,,,,
03 March 2023,Keyboard,Accessories,North,7.00,3829.00,876.35,,,,,,,
03 February 2023,Mouse,Accessories,North,7.00,4676.00,242.64,,,,,,,
15 April 2023,Keyboard,Accessories,East,3.00,1119.00,317.36,,,,,,,
09 May 2023,Smartphone,Electronics,East,4.00,4228.00,764.30,,,,,,,
02 January 2022,Headphones,Accessories,North,8.00,1240.00,251.20,,,,,,,
28 November 2024,Keyboard,Accessories,North,9.00,3591.00,342.18,,,,,,,
05 February 2022,Printer,Office,West,8.00,3952.00,451.08,,,,,,,
05 June 2024,Keyboard,Accessories,South,6.00,3648.00,1050.08,,,,,,,
15 November 2024,Monitor,Accessories,North,5.00,3875.00,768.74,,,,,,,
13 November 2023,Smartwatch,Electronics,West,8.00,3416.00,478.90,,,,,,,
19 February 2022,Tablet,Electronics,West,1.00,908.00,222.58,,,,,,,
06 May 2024,Headphones,Accessories,South,4.00,4532.00,987.32,,,,,,,
04 August 2023,Headphones,Accessories,East,4.00,4168.00,650.15,,,,,,,
23 September 2023,Laptop,Electronics,North,3.00,3543.00,941.37,,,,,,,
14 September 2024,Laptop,Electronics,East,6.00,5124.00,1078.57,,,,,,,
17 March 2023,Smartwatch,Electronics,South,9.00,5751.00,1196.23,,,,,,,
29 September 2023,Camera,Electronics,East,2.00,624.00,139.64,,,,,,,
01 December 2023,Camera,Electronics,South,1.00,508.00,151.29,,,,,,,
13 September 2023,Headphones,Accessories,South,4.00,4700.00,914.60,,,,,,,
14 March 2022,Keyboard,Accessories,West,8.00,3216.00,639.78,,,,,,,
15 July 2023,Laptop,Electronics,West,6.00,2844.00,581.00,,,,,,,
29 May 2022,Smartphone,Electronics,West,5.00,2385.00,258.60,,,,,,,
16 January 2023,Monitor,Accessories,South,8.00,928.00,170.05,,,,,,,
06 September 2023,Headphones,Accessories,North,6.00,4656.00,673.35,,,,,,,
29 March 2023,Headphones,Accessories,North,2.00,330.00,21.46,,,,,,,
01 November 2023,Camera,Electronics,North,7.00,1799.00,274.11,,,,,,,
25 August 2022,Printer,Office,East,1.00,1029.00,173.61,,,,,,,
30 December 2022,Headphones,Accessories,North,8.00,5432.00,1619.39,,,,,,,
04 September 2024,Camera,Electronics,West,5.00,5785.00,1191.11,,,,,,,
08 January 2024,Printer,Office,North,1.00,1062.00,272.42,,,,,,,
27 December 2022,Keyboard,Accessories,North,1.00,163.00,22.07,,,,,,,
14 April 2024,Smartphone,Electronics,West,9.00,9162.00,1625.62,,,,,,,
10 February 2023,Printer,Office,East,4.00,1440.00,130.24,,,,,,,
15 July 2023,Monitor,Accessories,South,5.00,1465.00,149.62,,,,,,,
27 October 2024,Monitor,Accessories,West,2.00,366.00,31.23,,,,,,,
19 July 2024,Camera,Electronics,South,5.00,3135.00,277.28,,,,,,,
03 March 2024,Keyboard,Accessories,North,2.00,630.00,161.04,,,,,,,
12 April 2024,Monitor,Accessories,South,1.00,213.00,42.94,,,,,,,
20 June 2024,Monitor,Accessories,North,4.00,3792.00,1092.85,,,,,,,
21 June 2023,Mouse,Accessories,East,2.00,1932.00,109.07,,,,,,,
25 January 2023,Keyboard,Accessories,West,4.00,4152.00,317.28,,,,,,,
17 February 2024,Smartphone,Electronics,North,7.00,3612.00,529.57,,,,,,,
09 September 2024,Smartphone,Electronics,East,2.00,2258.00,280.76,,,,,,,
09 July 2022,Camera,Electronics,South,3.00,594.00,47.73,,,,,,,
01 September 2023,Headphones,Accessories,West,7.00,8071.00,1799.06,,,,,,,
30 March 2024,Keyboard,Accessories,North,7.00,5838.00,631.45,,,,,,,
22 December 2024,Keyboard,Accessories,North,4.00,692.00,181.31,,,,,,,
08 September 2024,Keyboard,Accessories,South,3.00,1704.00,309.06,,,,,,,
21 January 2023,Printer,Office,South,5.00,3235.00,941.24,,,,,,,
12 October 2023,Mouse,Accessories,East,6.00,4746.00,545.57,,,,,,,
01 August 2022,Smartwatch,Electronics,South,8.00,7600.00,788.88,,,,,,,
03 November 2023,Smartphone,Electronics,West,5.00,1935.00,128.01,,,,,,,
04 December 2023,Laptop,Electronics,North,3.00,1638.00,306.29,,,,,,,
30 June 2023,Keyboard,Accessories,West,7.00,4746.00,816.60,,,,,,,
01 February 2023,Smartphone,Electronics,North,8.00,4824.00,1187.93,,,,,,,
